                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1971,                0.96245,                 1.3359,                0.77979,                0.65781,                0.76372,                0.42226,                 1.6595,                 1.2122,                 1.8904,              0.0011448,              0.0011448,              0.0011448
                     36,                 1.1247,                0.87058,                 1.2953,                0.85945,                0.71627,                0.81471,                0.49677,                 1.5006,                0.97739,                 1.7408,              0.0011417,              0.0011417,              0.0011417
                     37,                 1.1716,                0.92651,                 1.3226,                0.78875,                 0.6187,                0.68477,                0.38811,                  1.745,                 1.3013,                 1.9995,              0.0011386,              0.0011386,              0.0011386
                     38,                 1.1598,                0.91752,                 1.3132,                0.72619,                0.68411,                0.70981,                0.35673,                  1.843,                 1.3885,                  2.099,              0.0011355,              0.0011355,              0.0011355
                     39,                 1.1566,                0.91861,                 1.3142,                0.83268,                0.72746,                0.81905,                0.46481,                  1.547,                 1.0256,                 1.7531,              0.0011324,              0.0011324,              0.0011324
                     40,                 1.1604,                 0.9317,                 1.3157,                 0.8025,                0.66012,                0.75357,                0.43082,                 1.5677,                 1.0869,                 1.7771,              0.0011293,              0.0011293,              0.0011293
                     41,                  1.139,                0.91929,                 1.3069,                0.80111,                0.78953,                0.82866,                0.49547,                 1.5311,                0.97537,                 1.7877,              0.0011263,              0.0011263,              0.0011263
                     42,                 1.1011,                 0.8855,                 1.2725,                0.82504,                0.73121,                0.79994,                0.47407,                 1.5065,                0.95039,                  1.739,              0.0011232,              0.0011232,              0.0011232
                     43,                 1.1068,                0.83639,                  1.285,                0.84229,                0.76148,                0.84797,                0.48201,                 1.5448,                0.96183,                 1.7574,              0.0011201,              0.0011201,              0.0011201
                     44,                 1.1656,                 0.9216,                 1.3089,                0.84847,                0.72496,                0.84251,                0.50938,                 1.4641,                0.96887,                 1.7021,               0.001117,               0.001117,               0.001117
                     45,                 1.1455,                0.90685,                 1.2956,                0.79748,                0.74004,                0.81658,                0.48302,                 1.5911,                 1.1175,                 1.8494,              0.0011139,              0.0011139,              0.0011139
                     46,                 1.1634,                0.92721,                 1.3326,                0.81787,                0.77248,                0.83893,                0.50243,                 1.5121,                0.94314,                 1.7725,              0.0011108,              0.0011108,              0.0011108
                     47,                 1.1517,                0.93162,                 1.3246,                0.70031,                0.73181,                0.78626,                 0.4529,                 1.5718,                 1.0537,                 1.8434,              0.0011077,              0.0011077,              0.0011077
                     48,                 1.1693,                0.91781,                 1.3259,                0.70061,                0.72224,                0.79888,                0.44809,                 1.6213,                 1.0913,                 1.8767,              0.0011046,              0.0011046,              0.0011046
                     49,                 1.1816,                0.92542,                 1.3438,                0.81059,                0.69171,                0.82051,                0.50031,                 1.4507,                  1.061,                 1.6953,              0.0011015,              0.0011015,              0.0011015
                     50,                 1.1046,                0.85278,                 1.2723,                0.82234,                0.64877,                0.80281,                0.47209,                 1.6216,                 1.1392,                 1.8068,              0.0010984,              0.0010984,              0.0010984
                     51,                 1.1204,                0.85321,                 1.2979,                0.83487,                0.63334,                0.71607,                 0.3997,                 1.6106,                 1.0816,                 1.8409,              0.0010953,              0.0010953,              0.0010953
